,state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,rep_cand_link,dem_cand_link,third_cand_link
0,TX,TX-HD-112,Open,Toss-Up,Angie Chen Button,Brandy Chambers,R,,,100.0,D,48112,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_112,http://www.angiebutton.com/,https://brandykchambers.com/,
1,TX,TX-HD-26,Open,Toss-Up,Jacey Jetton,Sarah DeMarchant,Open,,,93.5526093795227,D,48026,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_26,https://www.jaceyjetton.com/,,
2,TX,TX-HD-92,Open,Toss-Up,Jeff Cason,Jeff Whitfield,Open,,,89.65615299776090,D,48092,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_92,https://jeffcason.com,https://www.whitfieldfortexas.com,
3,TX,TX-HD-67,Open,Toss-Up,Jeff Leach,Lorenzo Sanchez,R,,,86.15436035824130,D,48067,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_67,http://www.jeffleach.com/,https://www.lorenzofortexas.com/,
4,TX,TX-HD-96,Open,Toss-Up,David Cook,Joe Drago,Open,,,85.55930926213180,D,48096,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_96,https://www.davidcookfortexas.com/,https://dragofortexas.com/home-1,
5,TX,TX-HD-121,R,Tilt,Steve Allison,Celina Montoya,R,,,77.5054859527585,D,48121,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_121,http://www.stevefortexas.com/,https://www.celinamontoya.org/,
6,TX,TX-HD-54,R,Lean,Brad Buckley,Likeithia Williams,R,,,77.505093621916,D,48054,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_54,https://buckleycampaign.com,https://kekefortexas.com/,
7,TX,TX-HD-66,D,Tilt,Matt Shaheen,Sharon Hirsch,R,,,72.73924936535440,D,48066,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_66,http://mattshaheen.com/index.html,https://www.sharon4tx.com/,
8,TX,TX-HD-108,D,Tilt,Morgan Meyer,Joanna Cattanach,R,,,63.6104635830808,D,48108,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_108,http://morganmeyerfortexas.com,https://joannafortexas.com/,
9,TX,TX-HD-126,R,Likely,H. Sam Harless,Natali Hurtado,R,Pete Salas,,62.814535748000000,D,48126,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_126,,https://www.natalifortexas.com/,
10,TX,TX-HD-134,D,Tilt,Sarah Davis,Ann Johnson,R,,,62.751427496492500,D,48134,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_134,https://ballotpedia.org/Sarah_Davis,https://www.annjohnson.com/,
11,NE,NE-SD-35,D,Tilt,Ray Aguilar,Dan Quick,D,,,62.7370111385244,D,31035,SD,,,,
12,TX,TX-HD-97,R,Lean,Craig Goldman,Elizabeth Beck,R,,,58.338663356662400,D,48097,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_97,http://craiggoldman.org/,https://www.elizabethfortexas.com/,
